Title,Location,Company,Salary,Sponsored,Description
Solution Architect- Big Data,Singapore,Michael Page,,Organic,"Newly Created Role
Great Working Environment
About Our Client
Our client is a well-established technology solutions provider with strong presence in Singapore. They are looking to hire Solution Architect- Big Data.
Job Description
As a Solution Architect- Big Data, you will be responsible for the following:
Identifying, planning and implementing data analytics solutions for the business.
Working with technical teams to develop new solutions and providing architectural expertise.
Identifying future business opportunities for leveraging Data & Analytics solutions on various platforms.
Designing relevant data models in Big Data and NoSQL platforms.
Setting up data analytics platforms in customer data centers or on cloud
The Successful Applicant
As a successful candidate you will have a Bachelor's degree in Computer Science or equivalent with at least 10 years of experience in large scale enterprise data projects .You will have experience in data modelling and architecting skills along with strong knowledge in data languages such as Spark, scala, Impala, Hive SQL, Apache . You will also have experience in cloud-based data analytics platforms such as AWS, Azure data lake or HDInsight.
You will have experience in open source data analytics platforms such as Cloudera, Microsoft, Amazon web services, Teradata, Informatics or Talend.
What's on Offer
Great Salary Package
Newly Created Role
Contact:
Sachet Sethi (Lic No:R1439850)
Quote job ref: 4121802
+65 6416 9821
Save Job
Apply
Solution Architect- Big Data
From email *
To email *
Our client is a well-established technology solutions provider with strong presence in Singapore. They are looking to hire Solution Architect- Big Data.
Job Description
As a Solution Architect- Big Data, you will be responsible for the following:
Identifying, planning and implementing data analytics solutions for the business.
Working with technical teams to develop new solutions and providing architectural expertise.
Identifying future business opportunities for leveraging Data & Analytics solutions on various platforms.
Designing relevant data models in Big Data and NoSQL platforms.
Setting up data analytics platforms in customer data centers or on cloud
The Successful Applicant
As a successful candidate you will have a Bachelor's degree in Computer Science or equivalent with at least 10 years of experience in large scale enterprise data projects .You will have experience in data modelling and architecting skills along with strong knowledge in data languages such as Spark, scala, Impala, Hive SQL, Apache . You will also have experience in cloud-based data analytics platforms such as AWS, Azure data lake or HDInsight. You will have experience in open source data analytics platforms such as Cloudera, Microsoft, Amazon web services, Teradata, Informatics or Talend.
What's on Offer
Great Salary Package
Newly Created Role
"", ""jobLocation"" : { ""@type"" : ""Place"", ""address"" : { ""@type"" : ""PostalAddress"", ""addressLocality"" : ""Singapore"", ""addressRegion"" : ""Singapore"", ""addressCountry"" : ""SG"" } } }

Function:IT
Specialisation:IT Data Analysis
Industry:Technology & Telecoms
Location:Singapore
Contract Type:Permanent
Consultant name:Sachet Sethi (Lic No:R1439850)
Consultant contact:+65 6416 9821"
Data Architect,Singapore,Michael Page,,Organic,"Newly Created Role
Excellent Salary Package
About Our Client
Our client is a well-established organisation with strong presence within the region. They are looking to hire a Data Architect.
Job Description
As a Data Architect, you will be responsible for the following:
Planning, designing and implementing end to end big data solutions as per client's needs.
Identifying big data frameworks and implanting them that best fits the need.
Being a subject matter expertise by providing optimal architecture components.
Working closely with various internal technical teams during testing phase.
The Successful Applicant
As a successful candidate you will have a bachelor's degree in Computer Science or equivalent with at least 10 years of experience in data industry with 7 years of experience with Big data tools. You will have experience in working with big data frameworks like Hadoop &Spark and distributions like databricks, cloudera, talend or MapR. You will have experience in data modelling along with experience in SQL and No SQL databases. Prior experience in DevOps and DataOps principals will be good to have.
What's on Offer
Newly Created Role
Excellent Working Environment
Contact:
Sachet Sethi (Lic No:R1439850)
Quote job ref: 4119007
+65 6416 9821
Save Job
Apply
Data Architect
From email *
To email *
Our client is a well-established organisation with strong presence within the region. They are looking to hire a Data Architect.
Job Description
As a Data Architect, you will be responsible for the following:
Planning, designing and implementing end to end big data solutions as per client's needs.
Identifying big data frameworks and implanting them that best fits the need.
Being a subject matter expertise by providing optimal architecture components.
Working closely with various internal technical teams during testing phase.
The Successful Applicant
As a successful candidate you will have a bachelor's degree in Computer Science or equivalent with at least 10 years of experience in data industry with 7 years of experience with Big data tools. You will have experience in working with big data frameworks like Hadoop &Spark and distributions like databricks, cloudera, talend or MapR. You will have experience in data modelling along with experience in SQL and No SQL databases. Prior experience in DevOps and DataOps principals will be good to have.
What's on Offer
Newly Created Role
Excellent Working Environment
"", ""jobLocation"" : { ""@type"" : ""Place"", ""address"" : { ""@type"" : ""PostalAddress"", ""addressLocality"" : ""Singapore"", ""addressRegion"" : ""Singapore"", ""addressCountry"" : ""SG"" } } }

Function:IT
Specialisation:IT Data Analysis
Industry:Technology & Telecoms
Location:Singapore
Contract Type:Permanent
Consultant name:Sachet Sethi (Lic No:R1439850)
Consultant contact:+65 6416 9821"
Senior Application Architect,Singapore,Huxley APAC,,Organic,"We are looking for a Senior Applications Architect with enterprise background on system integration. You will be required to work on a project to revamp and redesign an existing legacy application to new technologies and modern technology stack. Knowledge and experience on multiple frameworks, platforms, and long term integration projects will be crucial in driving the strategy into success.
Senior Application Architect
Have you ever thought of working with a company that provides a wide range of services and has robust product engagements with enterprise businesses? Our client has a wide range of support and products within cloud computing, unified communications, collaboration, Big Data, Internet of things, and Artificial Intelligence. This company has a presence all over the globe and will give you a valuable portfolio to add under your belt.
We are looking for a Senior Applications Architect with enterprise background on system integration. You will be required to work on a project to revamp and redesign an existing legacy application to new technologies and modern technology stack. Knowledge and experience on multiple frameworks, platforms, and long term integration projects will be crucial in driving the strategy into success.
The role of a Senior Application Architect will be located in Singapore, are looking to looking for a challenge your experience and work with a client that values their employees? If yes, this is your chance!
What will you be doing?
Guide the design of technical software from the business requirements by leveraging design methods, patterns, and best practices
Analyze the client's information technology requirements, translate these needs into system and architecture requirements to ensure architecture design is met accordingly.
Take ownership of the application architecture until it is going live, vendor's management, escalate issues, delivery, and find relevant people to fix problems when required.
Work with a complex system integration project, legacy, to migrate old application to modern stack.
What are we looking for?
10 years of Java/J2EE application architecture experience.
Professional experience in designing, project integration, application development and leadership at the enterprise level.
Influential people communication skills that, and comfortable with senior employees, management, stakeholders, and customers.
Familiar with tools, technologies, and servers like; Java, J2EE, JBoss, WebLogic server, BPMS/BRMS, Oracle, GitHub, Jenkins, Azure/AWS (Amazon web services), CICD (continuous integration and continuous delivery), Spring and Hibernate.
Degree in Computer Science/Information Technology or related disciplines
Good understanding of functional and non-functional requirements, technology risks and limitations
Huxley, a trading division of SThree Pte Limited (Registration Number: 200720126E | SThree Pte Limited Licence Number 16S8216 | Huxley Licence Number 53132076J)
Award winner of:
International Recruitment Company of the Year by Recruitment International 2016
Best Client Services by Asia Recruitment Awards 2017
Best Overseas Operation by Global Recruiters 2017
Highly Commended for Best Large Recruitment Business 2017"
#SGUNITEDJOBS DATA ARCHITECT,Singapore,CLOUDCOVER PTE. LTD.,,Organic,"About Us
We deliver the insane potential of the public cloud to start-ups & agile enterprises through a combination of weaponized geekiness, extreme automation and battle-scarred experience.

CloudCover partners with the top 3 public cloud providers on the planet and best-of-breed SaaS platforms. We're fully certified and deeply engaged with all our chosen platforms. Our team is constantly learning the latest that the cloud has to offer, giving us a unique perspective and the ability to help you choose what's right for your business.

Role
Proven technology thought leadership to build consensus on strategies. Ability to work with client tech architects and managers to align on recommendations and next steps.
Ability to influence and steer through data-driven decision making process.
Help with the selling process including design and solution approaches for proposals with supporting proof of concepts. Champion POCs right from initiation to implementation phases.
Develop collaterals, frameworks and execution models to deliver data solutions on public cloud platforms.

Mandatory Skills
Solid experience in defining data solutions for Data Lakes, Data warehouses, Master / Reference Data.
Build conceptual/logical/physical data models for analytics and wherever applicable, operational data structures in line with industry best practices.
In-depth knowledge of steaming & batch integration use cases for data processing on one of the cloud platforms (GCP, AWS, MS Azure).
Solid experience of architecting ETL / ELT data pipelines in a distributed environments for low latency and highly scalable systems. Experience with end-to-end orchestration of data pipelines.
Solid experience with one or more major RDBMS: PostgreSQL, MySQL, SQL Server, Oracle etc.
Solid experience with at least one major NoSQL datastore such as MongoDB, Cassandra, REDIS, DynamoDB, Elasticsearch, Google Cloud Datastore etc.
Experience with architecting analytics platforms using any major “Big Data” ecosystem either on cloud or on-premise (Hadoop/Spark/Flink etc.) and associated components such as Hive/Pig, HBbase, Kafka etc.
Experience with at least one major data visualization platform such as Tableau, MS PowerBI, Looker, Qlik, AWS Quicksight, Google Data Studio etc.
Hands-on experience in defining system level architecture. To be able to organize & shape the data using various data modelling techniques (e.g. Star, Snowflake, Vault). Should be able to clearly define the data consumption / semantic layer to satisfy multiple consumption patterns.
Clear understanding of data security protocols and enabling access controls. Demonstrated experience in handling sensitive, confidential, PII information in large data systems.

Technical Mentorship Skills:
1. Lead a team of data engineers.
2. Focus on creating reusable code assets to help accelerate the overall build cycle
3. Help data engineers to upskill & cross-skill

Excellent English skills (written and spoken)

Nice to have skills and experience
Experience with upcoming server-less services & products for Big Data pipelines and analytics on the public cloud such as:
Google: Big Query, Big Table, Dataflow, Dataproc, Cloud ML Engine, Google Data Studio, TensorFlow
AWS: Kinesis, Lambda, Glue, Athena, DynamoDB, Sagemaker, QuickSight, Aurora, Redshift
Microsoft Azure: ADF, Data Catalog, CosmosDB, SQL DW, Power BI Service

Responsibilities
Work with business partners in understanding and translating business requirements into solution designs, understanding tradeoffs in performance, usability, accuracy, integrity of data, and knowing which of these goals to optimize for.
Take initiative and & own the business / data solution from CloudCover’s perspective.
Profile, design, and model data and provide data product solutions using various options available across multiple data platforms.
Lead a data team at CloudCover, provide suggestions and best practices for end to end data delivery, data standards, and data process.
Architect data solutions with the right balance of performance, scalability, ease of consumption in total compliance with client specific data security & privacy needs.
Creation of clear, concise, well defined design & architecture artifacts to communicate to the clients.
Architect heterogeneous and complex data sources that are transactional, non-transactional, structured or unstructured in nature to create the consumption patterns as per the use case requirement."
"Specialist, Architect",Singapore,Standard Chartered,,Organic,"Job: Technology
Primary Location: ASEAN & South Asia-Singapore-Singapore
Schedule: Full-time
Employee Status: Permanent
Posting Date: 18/May/2020
Unposting Date: 16/Jun/2020
About Standard Chartered
We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.


To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.


We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base.


The Role Responsibilities

Project Delivery
Assist in managing and coordinating project deliverables and activities.
Manage and coordinate dependencies, risks, issues to ensure the successful delivery of the project.
Manage the communication channels and relationships with senior stakeholders.
Ensure all stakeholders are sufficiently briefed.
Contribute to the management, monitoring and delivery of remediation action plans and outcomes where needed, in line with expectations / requirements.
Perform functional and technical Infrastructure review activities as per engagement in the project.
Identify the Automation opportunities and define the approach.
Identify test environment requirements and liaise (and coordinate) with teams.
Conduct periodic reviews and inspections of project deliverables and provide feedback.
Participate in project meetings to provide feedback and statistics of the project.
Process and Compliance
Good understanding and able to apply processes laid down within the team, and/or standards as defined by project and SCB.
Comply with the software management practices and policies.
Provide technical expertise in Automation, Infra Methodologies, Admin Processes, Development best practises, Tools and Techniques across the teams.
Be an escalation point for all matters related to Infrastructural changes.
Customer and Service Focus
Responsive to customer and project needs, as well as managing customer expectations.
Establish a close working rapport with project team to understand issues and risks underlying the project.
Able to manage multiple projects whilst still ensuring process compliance and deliverables are adhere to.
Our Ideal Candidate

Bachelor /Masters Degree (Maths/Statistics/Quantitative/Business or other relevant degree) or equivalent business experience. Strong knowledge of IT principles and system development lifecycle. Sound statistical knowledge, analytical and problem-solving skills are desirable.
Hands on & Consulting Skills on Hadoop Automation Framework
Hands on experience in Hadoop Admin and Architecture.
Sound statistical knowledge, analytical and problem-solving skills are desirable.
Hands-on experience on Big data technologies (Hortonworks HDP, Apache Hadoop, HDFS, Hive, Sqoop, Flume, Zookeeper and HBase, Oozie, Spark, Ni-Fi, Kafka, Snap logic, AWS, Red shift).
Have experience with monitoring tools.
Development capabilities using python, spark, sas, R languages.
Good management and analytical skill
Good writing and oral communication skills
Good understanding of and experience in projects (e.g. SDLC, Agile methodology)
Designed and implementation ETL pipelines using Apache Spark, Hive, Snowflake Structured Streaming and Python for processing event stream data.
Hands on experience in Big Data space (Hadoop Stack like HDFS, Pig, Hive, HBase, Sqoop etc)
Performance Tuning of Apache Spark and
Hadoop YARN.
Experience with Java programming
Provide oversight and guidance to Hadoop team
Ability to debug & write / modify Pig. Hive, Sqoop codes
Ability to debug & write / modify Shell script/Python
Very good understanding of Big Data eco-system
Candidate should also have good knowledge of Big Data architecture patterns, design patterns, estimation techniques, performance tuning and trouble shooting
Willing to work on-call support over weekends
Liaise with multiple application teams & co-ordinate for issue resolution
Good analytical & interaction skills
Continuous monitoring and managing the Hadoop cluster.
A good understanding of IFRS9 Risk and compliance would be highly beneficial
Hadoop Certification

Apply now to join the Bank for those with big career ambitions.


To view information on our benefits including our flexible working please visit our career pages. We welcome conversations on flexible working."
Big Data Engineer,Singapore,Dandemlabs,,Organic,"Dandemlabs is a small agile outfit that builds custom solutions for our clients using various different technologies. From inventory and CRM solutions specific to clinics, to CMS solutions for Singapore's largest publications house and airlines, to POS solutions for SMEs, to automation tools for banks and financial institutions.
As a Big Data Engineer on our team you will be working with our clients and us to:
Architect their data strategies, from data modelling to the underlying infrastructure to support it
Build and deploy data ingestion tools, ETL/ELT pipelines into the data warehouses & data marts, dashboards for end stakeholders to view and explore the insights.
Manage client teams that support various aspects of the entire pipeline
Must haves:
Ability to code, we are language agnostic but expect our team members have a good base of coding and show the ability to be able to pick up new languages and frameworks required for the projects. Common languages include, python, javascript, Java, C, PHP
SQL. This a basic skill of any data engineer and we expect basic to intermediate capabilities here. If you know your joins thats a good start, CTEs, windowing functions even better. We can train you up on the rest
Cloud. Its a fast moving space and we do not expect experts here but we do want candidates with experience using various cloud services like GCP, Azure or AWS. Many of our projects live in the world of various cloud services.
Good to haves:
PowerBI. One of our first projects we will task you to will likely require the use of PowerBI
Azure experience. Specifically data bricks and Azure datawarehouse
Job Types: Full-time, Part-time, Contract, Permanent
Salary: $4,000.00 to $6,000.00 /month"
IT Data Solutions Architect,Singapore,Great Eastern,,Organic,"JOB DESCRIPTION
Job ID: 002183
Job Purpose
The solution architect (data) role is responsible for the architecture and technical design of GE’s big data platform, including systems integration, processes and governance to operationalize the big data platform.
The data architect is required to work closely with business stakeholders, project managers and third party vendors to develop technical solutions in areas of AI, Analytics and the use of the big data platform to fulfil various business use cases. He/She is expected to set data architecture principles, create models of data that enable the implementation of the intended business architecture, create diagrams showing key data entities, and create an inventory of the data needed to align with our enterprise architecture vision.
The Job
Owner of GE Big Data Platform (BDP) Architecture.
Responsible evolvement and the governance of the BDP Architecture.
Document As-Is and To-Be Architecture.
Support delivery teams of related GE projects to ensure alignment of project technical solutions to the BDP Architecture.
Provide technical directions to delivery teams in the domain of Data and Analytics.
Document key architecture decisions.
Harvest Architecture Assets.
Review and Approve project designs such as data models, data flow, tools, system architecture etc.
Establishing and enforcing standards, processes, frameworks, tools and best practices for process modeling, semantic modeling, and logical and physical data modelling.
Establish standard information architecture best practices in the context of the enterprise’s overall architecture, and consistently apply such standards to operating units and functions across the company.
Work with project teams to ensure compliance with data management standards.
Work with business product owners, application teams, infrastructure team, vendors, data scientists to conduct Proof of Concepts (POCs), jointly evaluate and implement various data analytics and AI related solutions.
Prepare Data Architecture Strategies and Roadmap.
Research and evaluate alternative solutions and recommend the most efficient and cost effective data related solutions for improved data integrity.
Regular review of emerging technologies to assess their relevance and viability in solving on-going information management challenges. Big Data, cloud computing, data visualization, data masking, enterprise business metadata management and Data SOA.
Work closely with users to understand and help develop functional specifications.
Prepares written reports of findings and recommendations.
Participate in the development and maintenance of corporate data architecture, data management standards and conventions, data dictionaries and data element naming standards and conventions for multiple computing environments.
Work with Information Security to ensure proper classification and protection of enterprise data.

JOB REQUIREMENTS
Our Requirements
Bachelor’s degree in computer science, or other relevant field.
Minimum 10 years of relevant data management experience, including architecting data management solutions and designing/developing data governance policies/standards.
Experience in implementation of big data platform and data warehouse projects.
Strong project leadership and management skills to lead organizational change to effectively meet strategic and tactical goals.
Strong written and verbal communications skills required; must be equally comfortable discussing the enterprise information management (EIM) strategic perspective with executives and implementation details with operational staff and IT.
Organizational/political agility with the ability to drive large, cross-functional data management programs involving coordination with multiple stakeholders.
Ability to help define and articulate the enterprise data management strategic vision and translate it into tactical implementable steps to C level.
Solid knowledge of the organization's industry and its challenges in the use of data and information.
Certification in data management and understanding of the various technologies of data management within an organization.
Strategic decision-making skills with a high degree of latitude.
Financial services domain knowledge, including expertise at the intersection of risk, finance and customer domains.
Expertise in business and IT architecture, including familiarity with leading architectural standards such as TOGAF, FEA and/or Zachman.
Familiarity with Enterprise Metadata Management (business and IT) and OMG standards.
Information management program life cycle experience.
Experience in operationalizing Data Governance, Data Stewardship and Data Quality.
Familiarity with industry data models such as IBM BDW and IIW, Teradata FSLDM, and SAS IIA.
End-to-end data warehousing program execution knowledge and leadership.
Familiarity with software development lifecycles.
Experience in defining business requirements for information management projects.
Familiarity with process modeling, semantic modeling and data modelling.
Broad knowledge of solutions and technologies in the Data & Analytics domain such as Horton Works Hadoop Platform, IBM Netezza, SAS Viya, Talend, Infomatica, Tableau, QlikSense, Hive, RDBMS technologies, R, Python etc.

To all recruitment agencies: Great Eastern does not accept unsolicited agency resumes. Please do not forward resumes to our email or our employees. We will not be responsible for any fees related to unsolicited resumes."
#SGUNITEDJOBS BIG DATA ENGINEER,Singapore,SYNECHRON TECHNOLOGIES SINGAPORE PTE. LTD.,,Organic,"Key Responsibilities:
Architect and process complex datasets with Spark, Beam, etc
Read/write data with Kafka, HDFS, S3, Postgres etc
Produce fault-tolerant, intelligent data processing pipelines
Skills & Qualifications:
Possess an industry relevant degree
Possess a great understanding of the Python language and standard library
Understanding of how to use a data processing framework, such as Apache Spark or Beam
Able to read/write data to message and storage platforms, such as Apache Kafka, HDFS or Amazon S3
Interested in creating data processing pipelines for machine learning, using Apache Airflow, Dask, etc
Possess very high development standards, especially for code quality, code reviews, unit testing, continuous integration and deployment
Adaptable, resourceful, well organised team player with a strong work ethic
Good verbal and written communication skills"
"Solution Architect - BI, EDW, Data Analytics",Singapore,Ambition,,Organic,"Solution Architect - BI, EDW, Data Analytics

Global MNC, permanent role inhouse
Exciting Digital Transformation & Innovation Team
Excellent Working Environment and Culture
Due to digital transformation and innovation drive for the group company across global scale, client is hiring for a senior and high caliber Solution Architect to be responsible for Business Intelligence, Enterprise Data Warehosue, Data & Analytics solutions across business functions. Candidates from end user or consulting are welcome to apply.

Responsibilities:

As a Solution Architect- BI/Data Warehouse, you will be responsible for the following
Being subject matte expertise SME for all BI, Enterprise data warehouse and analytics of the business.
Designing, building and implementing complex BI, data warehouse solutions for the business functions
Managing end to end data project along with being accountable for BI & enterprise data warehouse
Drive innovation and expertise, finding new ways and using emerging technology
Working with internal stakeholders to drive innovation initiatives and continuous design improvement, using agile methodoloy
Working with 3rd party vendors and internal technology team for development and code review, enhancement.
Qualifications:
bachelor's degree in Computer Science or equivalent
at least 6 years of experience in design and architecture of BI and Data Warehouse and software development
proven experience in developing and leading Data & Analytics/ BI systems with programming languages and technologies like Java, JavaScript/Node.js, Python, R, SQL, Talend, Informatica, Tableau, PowerBI or Qilk.
Experience in building Data and Analytics/BI solutions on AWS and/or Azure Cloud platforms is preferred.
Experience in Advanced Analytics and Deep Learning solutions is preferred.
You will have experience in performing requirement mapping within data warehouse applications.
Ambition is a leading global boutique recruitment business operating across key international cities. We access hard to find, high caliber professionals within Banking & Financial Services, Finance & Accounting, Sales & Marketing, Supply Chain & Procurement, and Technology (IT). We believe our size is a significant differentiator in the recruitment industry. We are big enough to undertake large scale projects for our clients yet retain the soul and personality of a smaller company. We are best known for our specialization with in-depth knowledge and expertise, well-established networks and deep relationships. We work towards 'building better futures' for our clients, candidates and our community.
For more information, please visit www.ambition.com.sg.
Data provided is for recruitment purposes only
EA Registration Number: R1652702
Business Registration Number: 200611680D. Licence Number: 10C5117
#LI-CHL
Ambition not only recruits on behalf of some exceptional companies but due to unprecedented growth, Ambition is also looking for talented individuals to join our fantastic recruitment business."
#SGUNITEDJOBS ETL DATA ENGINEER,Singapore,TECHNOPALS PTE. LTD.,,Organic,"Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and Google ‘big data’ technologies.
Build processes supporting data transformation, data structures, metadata, dependency and workload management.
Responsible for end to end design, coding, testing, review and implementation using Tableau server
Additional responsibilities include troubleshooting, maintenance, and optimization or enhancement of existing processes
Partner with engineering leads and architects to define & coordinate technical design.
Design and code reviews to ensure standards and quality level for the build
Work with stakeholders including the BSA, Report developers, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Additional responsibilities include troubleshooting, maintenance, and optimization or enhancement of existing processes.
Partner with engineering leads and architects to define & coordinate technical design.
Design and code reviews to ensure standards and quality level for the build
Performance tuning of ETL jobs to meet SLA
Prepare technical documentations on the deliverables
Identify, define and implement best practices for process improvements for SDLC management
Must have 6 to 10 years of experience using SQL, Informatica, Python, Tableau development.
Must be hands-on and have working experience in SQL, Informatica 10.x, Python.
Must have 4-5 years in Tableau development with experience in data analysis, data profiling, data validation.
Experience in designing Tableau models with Live relational data source.
Experienced in designing “data exploratory” & “storyline-based analytics dashboard/wireframes/prototypes”
Working experience with Exasol, Google Bigquery is a big plus.
Hands-on experience in development using best practices and standards on Informatica products specifically PowerCenter 9.x/10.x and Web Service Transformation
Solid working skills preferably in Oracle RDBMS, SQL, PL/SQL and ODS/3NF db design considering performance and SLA.
Strong design skills with a proven track record of success on large/highly complex projects preferably in the area of Enterprise Apps and Integration. Must have the ability to communicate technical issues and observations. Must have experience in cross functional domain and end to end knowledge of business and technology.
Technical and functional knowledge in Oracle EBS & Siebel CRM are preferred.
Must possess excellent verbal and written communication skills. Must be able to effectively communicate & work with fellow team members and other functional team members to coordinate & meet deliverables."
