Title,Location,Company,Salary,Sponsored,Description
Big Data Engineer,Singapore,Michael Page,,Organic,"Permanent role
Attractive salary package
About Our Client
Our client is a leading IT Consulting firm with a strong presence in Singapore. They are currently looking for an experience Big Data Engineer to join their team.
Job Description
As a Big Data Engineer, you will be responsible for :
Designing and implementing the storage & data flow solutions for Big Data Platform using NoSQL
Building data pipelines, harmonising and cleansing data for analytics projects
Providing regular status reports while supporting them to refine issues and recommend solutions
The Successful Applicant
As a successful applicant, you will have a Degree in Computer Science or relevant field. You will have at least 5 years experience in Data Engineering role. You will have experience in building large scale enterprise data pipelines on Hadoop based platforms or NoSQL. You will have strong hands on knowledge of data manipulation languages in addition to Big Data administrative tools.
What's on Offer
Permanent role
Attractive salary package
Contact:
Shinjika Shukla (Lic No: R1438070 )
Quote job ref: 4138744
+65 6416 9871
Save Job
Apply
Big Data Engineer
From email *
To email *
Our client is a leading IT Consulting firm with a strong presence in Singapore. They are currently looking for an experience Big Data Engineer to join their team.
Job Description
As a Big Data Engineer, you will be responsible for :
Designing and implementing the storage & data flow solutions for Big Data Platform using NoSQL
Building data pipelines, harmonising and cleansing data for analytics projects
Providing regular status reports while supporting them to refine issues and recommend solutions
The Successful Applicant
As a successful applicant, you will have a Degree in Computer Science or relevant field. You will have at least 5 years experience in Data Engineering role. You will have experience in building large scale enterprise data pipelines on Hadoop based platforms or NoSQL. You will have strong hands on knowledge of data manipulation languages in addition to Big Data administrative tools.
What's on Offer
Permanent role
Attractive salary package
"", ""jobLocation"" : { ""@type"" : ""Place"", ""address"" : { ""@type"" : ""PostalAddress"", ""addressLocality"" : ""Singapore"", ""addressRegion"" : ""Singapore"", ""addressCountry"" : ""SG"" } } }

Function:IT
Specialisation:IT Data Analysis
Industry:Business Services
Location:Singapore
Contract Type:Permanent
Consultant name:Shinjika Shukla (Lic No: R1438070 )
Consultant contact:+65 6416 9871"
Senior Data Engineer,Singapore,JobsLab,,Organic,"We are looking for a Senior Data Engineer to work in Tokyo, Japan who is excited to build the next-generation data processing that can handle large scale workloads. The right candidate has a solid background in setting up complex and scalable CI pipelines and a good understanding of Machine Learning.
RESPONSIBILITY
・Maintain and continuously improve large scale iterative labelling, experimenting, training, and deploying processing pipelines for modern deep learning on cameras, LiDARs, radars, and other sensor data.
・Communicate, scope and design new features to meet the needs of clients inside and outside of the company
・Develop and integrate data handling tools and work with teams to provide ground-truth in support of machine learning and simulation.
・Live and breathe the software practices that produce maintainable code, including automated testing, continuous integration, code style conformity, and code review.

TECHNICAL QUALIFICATIONS
Software engineering
・Service oriented architecture
・Microservices
・Experience with devtools: Jira, Github, Gitlab, Jenkins, Artifactory
・Experience with building, owning, managing and operating data platforms

Infrastructure
・Infrastructure as Code: Terraform
・Containers: Docker
・AWS experience including:
・・・Compute: EC2, ECS, EKS, Lambda, Batch
・・・Storage: S3
・・・Database: DynamoDB, Redshift
・・・Networking: API Gateway
・・・Security / Identity: IAM, Cognito
・・・Application Integration: Step functions, SQS, SNS
・Big Data / Analytics: Glue, EMR, Athena, Kinesis, ElasticSearch, Quicksight, Spark

Data
We require experience with one of the following:
・Computer vision and image processing
・Sensor processing and fusion
・Time series data processing
・Deep learning frameworks and building software on top of these frameworks such as PyTorch and Tensorflow

Soft Skills
・Excellent communication and organization skills
・Business level English
・Agile mindset
・Strong sense of ownership"
Data Engineer / Data Analyst,Singapore,GMP RECRUITMENT SERVICES S PTE LTD,,Organic,"Responsibilities: Create and maintain optimal data pipeline architecture, Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc. Apply architecture and system design theories and principles, perform complex work in research, design and development of new or existing products, tools and processes required for the operation, maintenance and testing of products. Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS Azure ‘big data’ technologies. Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics. Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs. Embed DevOps processes in delivery – ensure usability is front of mind in Tech Product development. Keep our data separated and secure across national boundaries through multiple data centers and Azure platforms. Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader. Work with data and analytics experts to strive for greater functionality in our data systems. Requirements: Degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field At least 5 years of relevant experiences in a Data Engineer role. Experience using the following software/tools: Experience with big data tools: Hadoop, Hive, Kafka, ELK (ECE), etc. Experience with relational SQL and NoSQL databases such as MSSQL, Postgres, Cassandra, MongoDB, TimeScaleDB Experience with mission-critical production development in following languages and frameworks a plus Languages: Java, Python, Web (HTML5, CSS, JS, XML, TS), Golang, VBA Frameworks: Angular, .NET, SciKitLearn, SciPy, NumPy, etc Experience with data pipeline and workflow management tools: Airflow, Apache NiFi, Redis, Microsoft Office, Sharepoint, etc Experience with Azure cloud services: Blob Storage, Power BI, Logic Apps, Flow Apps, MSSQL Data Warehouse Experience with stream-processing systems: Storm, Spark, etc. Experience in Microsoft PowerBI implementation (Custom components, DAX, M) Additional Info: This is on 12 months contract basis Interested candidates must be open to work in the West To apply, please visit www.gmprecruit.com and search for Job Reference: 16057 To learn more about this opportunity, please contact Yingying at We regret that only shortlisted candidates will be notified. GMP Technologies (S) Pte Ltd | EA Licence: 11C3793 | EA Personnel: Lai Yingying | Registration No: R1110239

Diploma, Bachelor's / Honours, Masters / PhD

Minimum of 5 year(s) experience needed for this position"
Data Scientist - Image Analytics,Singapore,Micron,,Organic,"Req. ID: 196121
Data Scientist – Image Analytics

As a Data Scientist at Micron Smart manufacturing and Artificial Intelligence organization, you will be working multidisciplinary projects in the different area which leveraging big data in Micron and Suppliers. You will be collaborating with WW Data Science Team to design and build Big Data tools/models/analytics to unlock business value from data in-sights. You are require constantly learning new front tier technology and creatively apply/deliver solutions to Mfg operations to meet BIC goal.

Responsibilities and Tasks
Work with an international team of data scientists, data engineers, software engineers, process and equipment engineers, process integration engineers, yield enhancement engineers, R&D, etc. in a collaborative manner to develop new data science solutions that improve quality, improve yield, reduce deviations, improve manufacturing cycle time, reduce cost, extend manufacturing capabilities, etc.
Draw from a broad background of data-mining techniques in mathematics, statistics, information technology, machine learning, data engineering, design of experiments (DOE), visualization, etc. to discover insightful patterns in semiconductor manufacturing data
Work on projects and develop solutions that would be of high impact to various areas at all manufacturing fabs
Work closely with IT and Supplier on data management, taking an idea, access and prepare necessary data, work with data scientists to create machine learning models, develop it to an application with intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins, etc.
Developing new or enhancing prior data acquisition and ETL pipelines from various sources into big data ecosystem.
Working with various scientific data such as equipment sensor data and logs, image and various types of signals, manufacturing process data, etc. to extract meaningful information for analytics
Creating intuitive user interface for interactive data visualization to explain insights from data
Qualifications
At least 5 years of work experience in computer vision and deep learning solution implementation
Full stack development experience prefers though not a must
PhD or Masters in Computer Science or related field
Strong communication skills with a demonstrable ability to lead multiple teams/projects in parallel, reporting to senior executives
Strong analytical and creative problem-solving skills
Strategically focused, impact oriented, highly organized and adaptable.

Working Location : Woodlands

About Micron
As the leader in innovative memory solutions, Micron is helping the world make sense of data by delivering technology that is transforming how the world uses information. Through our global brands — Micron, Crucial and Ballistix — we offer the industry’s broadest portfolio. We are the only company manufacturing today’s major memory and storage technologies: DRAM, NAND, NOR and 3D XPoint™ memory. Our solutions are purpose built to demonstrate the value of data to unlock financial insights, accelerate scientific breakthroughs and enhance communication around the world.
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

We recruit, hire, train, promote, discipline and provide other conditions of employment without regard to a person's race, color, religion, sex, age, national origin, disability, sexual orientation, gender identity and expression, pregnancy, veteran’s status, or other classifications protected under law. This includes providing reasonable accommodation for team members' disabilities or religious beliefs and practices.

Each manager, supervisor and team member is responsible for carrying out this policy. The EEO Administrator in Human Resources is responsible for administration of this policy. The administrator will monitor compliance and is available to answer any questions on EEO matters.

To request assistance with the application process, please contact Micron’s Human Resources Department at 1-800-336-8918 (or 208-368-4748).

Keywords: Singapore || North West (SG-03) || Singapore (SG) || Frontend Manufacturing || Experienced || Regular || Engineering || #LI-ST1 ||"
"Director, Big Data",Singapore,Singtel,,Organic,"Realise your full potential with Asia's leading communications group. While we take pride in our 140-year heritage, our philosophy is to always look forward and evolve. Today, we are a leader in cutting-edge ICT innovation and digital advances, powered by a vast network of offices in countries and territories across Asia Pacific, the Middle East, Europe and the USA. Come be a part of our dynamic organisation as we create the infocomms landscape of the future.

As part of our expansion and increasing demands for Big Data projects within Singtel Group, we are looking for a Big Data Director to lead a team of Big Data Engineers and manage the project delivery and operations.
The key areas that the incumbent will be focusing are:

Define and govern Big Data strategy, architecture and roadmap
Drive, lead and align new capabilities in the area of Big Data and Data Integration across Singtel Group
Lead and manage Big Data development and operations teams
Track and monitor vendor’s SLA performance
Plan and manage annual budget for both capital expenditures and operating expenses
Develop multi-year IT investment roadmaps that link to the Group IT strategy
Define standards and guidelines for development and operations
Build, maintain and improve strong relationship with business leaders, Group IT domains (departments) and IT service providers to deliver value via data
Represent Group IT at assigned project and / or program steering committees
Present and pitch at relevant senior leadership levels and /or executive steering committees
Drive Group IT and / or domain initiatives to the team
Promote a DevOps culture through building relationships with development & operations and driving enhancements to the end-to-end release process
Proactively advise the senior management team on the emerging technologies and digital trends that are most relevant to the company's goals and evolving needs
Hire, develop, evaluate, reward, and retain a highly-qualified team

Responsibilities

Develop, define and govern Singtel Big Data and data management architecture, guidelines and roadmap with stakeholders
Build up new capabilities for Big Data to support business initiatives
Overall responsible for delivery and operations for Big Data functions
Manage multiple Big Data delivery / project teams comprise of internal IT professionals and several IT service providers to ensure that projects / enhancements are delivered within the agreed scope, budget and schedule
Lead the application support teams comprise of internal IT professionals and IT service providers in managing, monitoring and optimizing of Big Data Platforms to ensure these applications meet the agreed SLA agreed with business
Troubleshoot Big Data platforms and software, including performance-tunes of BI applications
Budgeting, tracking and forecasting capital & operational expenditure
Interface with product vendors to keep abreast of new technologies, pricing and customer applicability. Participate in vendor evaluations
Lead and establish development guidelines, standards and best practices
Implement the most appropriate and effective IT organizational design to support and engage with the business
Work with business stakeholders to develop and analyze big data needs
Manage and drive outsourced vendors to achieve defined delivery and operations objectives
Manage resource capacity and staffing
Provide functional leadership to assigned staff and deliver input to staff performance and development
Identify capability for the team and provide guidance, training, and problem-solving assistance to team members
Present and engage senior leadership levels and /or executive steering committees on Big Data initiatives, projects and operations
Drive Group IT initiatives to the team
Develop and execute an analytics program that will allow company business leaders to make data-based decisions

The ideal candidate should possess

Bachelor's degree in Business Management, IT, Computer Science or equivalent.
At least 12 years of experience in the area of big data, data warehousing, BI & reporting and / or data management, including at least 8 years of experience in managing BI or big data development and operations team
Experience in managing and driving outsourced vendors to delivery and operations objectives
Hands-on experience in handling incident, problem, configuration, capacity and availability management
Successfully implemented large-scale data warehouse / data lake
Expert in building and optimizing ‘big data’ data pipelines
Experience in data management, data architecture and design
Strong technical knowledge of data integrations, ETL and data warehouse data modelling
Strong knowledge of BI reporting tools
Strong knowledge of SQL
Good understanding of Telco data models
Experience to do cost estimation and working with external vendors
Experience with DevOps tools and environment
Experience in building an enterprise level data analytics capability.
Experience in leading complex, major change initiatives; skills in change management
Customer-service oriented
Strong background in operational and capital finances, and IT budget development

Let’s shape a better world through technology. Join us to lead the change."
Data Analytics Engineer,Singapore,Accenture,,Organic,"Accenture is a leading global professional services company, providing a broad range of services in strategy and consulting, interactive, technology and operations, with digital capabilities across all of these services. We combine unmatched experience and specialized capabilities across more than 40 industries – powered by the world’s largest network of Advanced Technology and Intelligent Operations centers. With 505,000 people serving clients in more than 120 countries, Accenture brings continuous innovation to help clients improve their performance and create lasting value across their enterprises. Visit us at www.accenture.com.
Join Accenture and be a key part of Singapore’s transformation into a Smart Nation!

Accenture is renowned for digitally empowering governments and other public service organisations globally to become more effective, efficient, and engaged in a modern world. At Accenture Singapore, the Smart Nation initiative is the bedrock to the work we do where we envision a better life for Singaporeans by delivering innovative, meaningful, and delightful citizen services.

We are shaping the future through developing citizen-centric strategies and service delivery models, unlocking the digital value of Smart Nation by working on new and emerging technologies that change the way we live, work, and play; and celebrating our individuality and diversity with a passionate, committed and high-performing team. We work with purpose, do work that matters and bring our visions to life!

We are looking for Data Analytics Engineer who will be responsible for designing and implementing transformational industry and functional solutions to drive business value for our clients.

You will be involved in Citizen Services projects where we apply cutting edge thinking to reimagine the delivery of citizen services and supports government interaction from “cradle to grave” to drive greater public value. The team has built the SingPass and CorpPass platforms to allow for a single Digital Identity (personal and corporate) to access government digital services.

Role Summary:
There will never be a typical day at Accenture, but that’s why people love the dynamism. The opportunities and initiatives to make a difference, doing good for the public, are unlimited in the ever-changing digital landscape. Here are just a few of your day-to-day responsibilities:

Deliver large-scale projects that integrates business processes with digital technologies help clients achieve high performance.
Design and implement big data architecture, and implement real-time data processing and pipelines on Spark, Hadoop etc.
Develop and analyse data schemas, catalogue, including storage, transformation and analysis.

Required Competencies
Minimum one (1) year of development and/or coding experience in Python, SQL and/ or JavaScript. Having experience with Python backend Frameworks would be advantageous.
Minimum two (2) years of experience in designing and developing applications using Visualisation tools like Tableau, QlikSense, PowerBI or equivalent.
Minimum two (2) years of experience in dimensional modelling, data warehousing techniques (e.g. data cleansing, merging and other data manipulation tasks).
Minimum two (2) years hands-on experience in developing data warehouse, rule-based/machine learning models and implementing dashboards and/or reports, and has completed at least one (1) medium-large scale data analytics project implementation.
Knowledge of methodology and techniques in data verification or data conversion testing.
Knowledge and prior experience in implementing rule-based models would be advantageous.
Front-end development experience in HTML/ CSS/ JavaScript, JavaScript frameworks (e.g. angular), or entity visualization using libraries and tools such as D3, Kibana, I2 would be advantageous.
Prior experience in implementing analytics solutions for risk assessment functions, for example KYC would be advantageous.
Possesses good planning and coordination skills with strong ability to work independently, efficiently and as a team, manage timelines and expectations, and is responsible and conscientious in producing high quality deliverables (documentation, presentations, and prototypes).
Possesses strong writing, verbal communication and presentation skills.
Security Clearance Requirement
The candidate is required to be a Singapore Citizen and he/she will be subject to security clearance. The candidate / supplier shall provide all necessary information requested by the Authority to facilitate security clearance.

You will also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.

Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law."
Big Data Engineer,Singapore,NCS,,Organic,"Big Data Engineer
Plan, design and setup Big Data platforms in customer data centres or on the cloud
Design and implement relevant data models in Big Data and NoSQL platforms
Build data pipelines to bring information from source systems, harmonise and cleanse data to support analytics initiatives for core business metrics and performance trends
Work closely with project manager and technical leads to provide regular status reporting and support them to refine issues/problem statements and propose/evaluate relevant analytics solutions
Bring your experience and ideas to effective and innovative engineering, design and strategy
Work in interdisciplinary teams that combine technical, business and data science competencies that deliver work in waterfall or agile software development lifecycle methodologies
The range of accountability, responsibility and autonomy will depend on your experience and seniority, including:
o Contributing to our internal networks and special interest groups
o Mentoring to upskill peers and juniors
The ideal candidate:
Possess good communications skills to understand our customers' core business objectives and build end-to-end data centric solutions to address them
Good critical thinking and problem-solving abilities
Prior experience building large scale enterprise data pipelines using commercial and/or open source Big Data platforms from vendors such as Hortonworks/Cloudera, MapR, for Hadoop based platforms or NoSQL platforms such as Cassandra, HBase, DataStax, Couchbase, Elastic Search, Neo4j etc
Strong knowledge of data manipulation languages such as Spark, Scala, Impala, Hive SQL, Apache Nifi necessary to build and maintain complex queries, streaming and real-time data pipelines
Good appreciation and operational experience of Big Data administrative tools and skillsets eg: Linux shells, Apache Ambari, YARN, Ranger to build scalable and resilient data platforms
Data modelling and architecting skills including strong foundation in data warehousing concepts, data normalisation, and dimensional data modelling such as OLAP
Undergraduate or graduate degree in Computer science or equivalent"
Data Analyst ,Singapore,VK Transformation Pte.Ltd,,Organic,"Analyst

JOB DESCRIPTION – Data Analyst

(Singapore based)

Our Mission

VK Transformation is a marketing, sales & service management consulting firm specializes in digital transformation and data analytics. When you join us, you will be part of a fast-growing team that helps our clients accelerate marketing and sales transformation to drive revenue growth and stay ahead of the curve. Our clients span from start-ups through to SMEs and large enterprises across many industries including Legal Tech, Healthcare, Retail, Higher Learning, Digital Marketing, Professional Services, Manufacturing, Cloud Communication etc.

Business and sales leaders are looking for ways to respond and adapt to the change in this highly competitive environment. We partner closely with our clients who engage us to help them unlock opportunities and address their business challenges using our consulting framework: Discover, Design, Deploy and Measure Impact.

What sets us apart is our systematic diagnostic & evaluation evidence-based approach to discover key drivers of sales revenue performance and the root cause of what’s hindering & enabling our clients’ current performance. Our innovative solutions are tailored to meet our clients’ specific requirements and our consultants possess actual business and market experiences of which they will be able to share “real world” best practices and engage well with the delegates. Our associates also enjoy working in a collaborative, innovative and diverse environment with growth opportunities.

About the Role

We are looking for talents who are passionate to be part of an exciting 3.5-year old marketing, sales & service consultancy. He or she will have the opportunity to work closely with the Founder & the team to build out the practice and help businesses to navigate through the complexities and uncertainties business environment. You will have the opportunity to work with our Data Analytics Center of Excellence Lead which will involve acquiring of relevant data, analyze multiple data sources and translate them into actionable business insights for our clients to improve sales & marketing performance.

Job Description

Work on product development for sales and marketing intelligence and digital transformation diagnostic tools.

Develop and maintain databases by acquiring data from primary and secondary sources, and build scripts that will make our data analysis and visualization process more flexible or scalable across data sets

Conduct data analysis on various aspects of our clients’ sales & marketing to help improve business metrics.

Work closely with project managers to understand and maintain focus on their analytical needs, including identifying critical metrics and KPIs, and deliver actionable insights that could potentially help our clients

Has solid understanding of advanced statistical concepts like multi-variate analysis, conjoint analysis, cluster analysis, factor analysis, decision trees, regression analysis, random forest, statistical forecasting, data mining etc. that will have a direct impact on sales and marketing metrics.

Work closely with the team to deliver advanced data-driven decision making for the business

Build analytical models or dashboards to track effective sales management. This model will also support the coaching conversation between sales/business leaders and sales professionals

Identify trends and opportunities for growth through analysis of complex data sets

Proactively analyze data to answer key questions from stakeholders or out of self-initiated curiosity with an eye for what drives business performance, investigating and communicating areas for improvement in efficiency and productivity

Evaluate internal systems for efficiency, problems, and inaccuracies, developing and maintaining protocols for handling, processing, and cleaning data

Create best-practice reports based on data mining, analysis, and visualization

Define and implement data acquisition and integration logic, selecting appropriate combination of methods and tools within defined technology stack to ensure optimal scalability and performance of the solution

The successful candidate should possess the following qualification and qualities:

Proven data analytics internship experience with a Bachelor or Master’s degree in Computer Science, Engineer, Math, Economics (with tracks in Data Analytics, Artificial Intelligence) or any other relevant discipline.

Strong analytical aptitude (basic SQL, Excel, Power BI, Tableau Software and data visualization)

Programming experience of using Python, R, SQL, VBA Macros or others will be a big plus.

Prior experience in building of data analysis, reporting, dashboards and visualization.

Strong analytical thinking with experience in deriving business insights from data analytics.

Ability to communicate complex ideas and recommendations effectively (both verbally and in writing in English) to clients at all levels in an organization.

Strong appetite to work in a startup environment and comfortable with fast pace changes & ambiguous working environment.

Keep up to date with new technology trends which will help clients with digital transformation efforts especially for SMEs and large enterprises.

This is a non-exhaustive list of duties and can evolve with time.

The coverage of job description is highly dependent on full time or part time coverage of the job scope."
"Associate, Junior Data Scientist, DBS Transformation Group",Singapore,DBS Bank,,Organic,"Business Function

Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.

Job Purpose
Deliver Data Science analysis to support business decisions for various Business Units of the Bank. Develop Advanced Analytics components to be included in innovative applications by creating prototypes and developing solutions based on advanced analytics, leveraging internal data sources as well as investigating the potential of external data sources.

Responsibilities
Train Predictive and Machine Learning models to solve various business questions.
Perform ad-hoc exploratory statistics and data mining tasks on diverse datasets from small scale to “big data”
Select features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extend company’s data with third party sources of information when needed
Enhance data collection procedures to include information that is relevant for building analytic systems
Process, cleanse, and verify the integrity of data used for analysis
Carry out ad-hoc analysis and present results in a clear manner
Build Prototypes to demonstrate the derive actionable insights from data, as part of Agile teams
Work with Data Engineers to define data requirements and review recommended architecture
Program advanced analytics capabilities and algorithms to be included in new business solutions.
Develop visualization interfaces that help business make more insightful decisions
Maintain a cutting edge in Data Science
Take initiative in evaluating new approaches from data science research
Test new tools and packages
Support the programs for changing the business culture towards being more data driven
Identify, profile, analyse and present the data discovery output for analytics projects
Develop data ingestion pipeline and create the analytics data assets for analytics projects
Work with data engineer to enhance the analytics data infrastructure and develop enterprise analytics data mart
Perform data wrangling and feature engineering for machine learning
Create helper functions to automate frequently encountered wrangling and feature engineering tasks
Requirements
PhD/Masters/Bachelors in Computer Science, Statistics, Applied Mathematics, Operations Research, or related disciplines.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Highly proficient with data wrangling, analytic, transformation and feature engineering using programming tools such as Spark, Python or R. Excellent knowledge of SQL.
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc .
Experience with data visualisation tools, such as D3.js, GGplot, etc.
Proficiency in using query languages such as SQL, Hive, Pig
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase
Good scripting and programming skills (Python, Java, Spark…)
Experience with commercial Analytics packages is a plus (Teradata, SAS, Qlikview…)
Practical experience in following domains, in addition to Machine Learning, is a plus: Natural Language Processing, Deep Learning, Time Series, Web/Log Analysis, Streaming Data Analysis, Geospatial Analysis
Great communication skills
Data-oriented personality
Excellent communication and presentation skills in English.
Taste for working in teams, self-starter, able to work on multiple projects in parallel
Industry experience in data analytics working in a big data environment
Experience working in multi-cultural environments
Apply Now

We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
"Data Engineer (Economic Research Department, Strategic Plann...",Singapore,Building and Construction Authority,,Organic,"Work Location: 52 Jurong Gateway Road, #11-01, Singapore 608550
We are looking for a data engineer who will design, build and integrate data from various resources into an Enterprise Data Warehouse. The data engineer is also expected to manage the data in the Enterprise Data Warehouse and develop data set processes to enable data scientists to perform data mining and analytics.
Responsibilities:
Take on the role as key personnel involved in setting up the Enterprise Data Warehouse
Create and maintain optimal data pipeline architectures
Perform data cleaning, pre-processing and feature engineering that facilitate meaningful analysis
Work closely with data scientists to mine insights from structured and unstructured data and to resolve complex statistical modelling problems to answer pertinent policy questions
Work closely with database administrators to facilitate data sharing arrangements between BCA and other agencies.
Maintain a high standard of data governance that is in line with the regulations and standards set at the governmental level
Requirements:
A tertiary qualification in Computer Science, Informatics, Information Systems or other quantitative fields, and at least 2 years of experience in a data engineering role
Experience with:
Relational SQL query
Big data
Data modelling
Data pipeline and workflow management
Object-oriented/object function scripting languages
Be able to understand database documentations such as:
Data dictionaries
System data model design
Process/function flow design documents
System design architecture diagrams
Possess good communication skills
Successful candidates will be offered contract employment. Remuneration shall commensurate with qualification and experience.
Interested applicants, please apply online."
