Title,Location,Company,Salary,Sponsored,Description
Data Scientist,Singapore,Kelly Services Singapore,,Organic,"A Bachelor in Data Scientist/Computer Course
At least 5 years of data analytics exposure
Applying machine learning models and NLP
Requirement:
A Bachelor's degree in Data Scientist or Computer Science (or equivalent experience)
5 - 10 years of data analytics exposure
Have experience in applying machine learning models
Able to perform unix / linux scripting.
Writing of documents that clearly explain how algorithms should be implemented, verified and validated
Strong hands-on experience in Python, R, or Octave
Good knowledge in mathematic modelling, statistics, probabilities.
Understanding on Machine Learning technics, Neural Network, Linear regression, sentiment analysis, Clustering, anomaly detection, NLP, chatbot, Topic Modelling, Entity Recognition.
Experience in UI presentation, QlikSense, Power BI, R Shiny, orD3.js
Strong knowledge in SQL (Oracle, MySQL, MariaDB)
Familiar with Linux operation system
We regret to inform that only shortlisted candidates will be contacted.
EA License No. 01C4394
EA Registration No. R1329705 (Lopez Geraldine Pascual)
EA License No.: 01C4394
EA Registration No.: R1329705

0021_157518517429557"
Data Scientist,Singapore,Michael Page,,Organic,"Excellent Working Environment
Newly Created Role
About Our Client
Our client is a leading security solutions provider with strong global presence. They are looking to hire a Data Scientist.
Job Description
As a Data Scientist, you will be responsible for the following:
Implementing various machine learning techniques for various security related projects.
Helping the internal teams on performance improvements and creating algorithms.
Working on large sets of data and participating in data exploration activities to make sure proper data usage is done.
Being a subject matter expertise in deep learning techniques.
The Successful Applicant
As a successful candidate you will have a bachelor's degree in computer science or equivalent with at least 5 years of experience in machine learning and deep learning techniques. You will have hands on experience in Python, R, Java and scala. You will also have experience in writing algorithms along with knowledge in statistical domain. You will also have knowledge in developing visualisations for the POCs and NoSQL databases.
What's on Offer
Newly Created Role
Excellent Salary Package
Contact:
Sachet Sethi (Lic No:R1439850)
Quote job ref: 4120513
+65 6416 9821
Save Job
Apply
Data Scientist
From email *
To email *
Our client is a leading security solutions provider with strong global presence. They are looking to hire a Data Scientist.
Job Description
As a Data Scientist, you will be responsible for the following:
Implementing various machine learning techniques for various security related projects.
Helping the internal teams on performance improvements and creating algorithms.
Working on large sets of data and participating in data exploration activities to make sure proper data usage is done.
Being a subject matter expertise in deep learning techniques.
The Successful Applicant
As a successful candidate you will have a bachelor's degree in computer science or equivalent with at least 5 years of experience in machine learning and deep learning techniques. You will have hands on experience in Python, R, Java and scala. You will also have experience in writing algorithms along with knowledge in statistical domain. You will also have knowledge in developing visualisations for the POCs and NoSQL databases.
What's on Offer
Newly Created Role
Excellent Salary Package
"", ""jobLocation"" : { ""@type"" : ""Place"", ""address"" : { ""@type"" : ""PostalAddress"", ""addressLocality"" : ""Singapore"", ""addressRegion"" : ""Singapore"", ""addressCountry"" : ""SG"" } } }

Function:IT
Specialisation:IT Architecture
Industry:Technology & Telecoms
Location:Singapore
Contract Type:Permanent
Consultant name:Sachet Sethi (Lic No:R1439850)
Consultant contact:+65 6416 9821"
Data Scientist (Python / AWS),Singapore,Michael Page,,Organic,"Opportunity to work with Advance Technologies
Leading the Data-Driven Culture
About Our Client
Our client is one of the Market Leaders in the Shipping Industry and they are looking for a Data Scientist (Python / AWS) to build analytics solutions that will lead the business into the data-driven era.
Job Description
As the Data Scientist (Python / AWS), you are responsible for:
Collaborating with cross functional teams to understand business requirements and provide solutions in areas involving Finance / Supply Chain / Customer Service etc.
Driving continuous functionality and feature improvements in data systems.
Developing meaningful dashboards and communicating business insights to the key stakeholders and evangelising a Data Driven Culture within the Organization.
Lead projects such as time-series forecasting and costing optimization and presenting the findings to senior stakeholders.
The Successful Applicant
As a successful applicant, you will have a Degree in Information Technology or equivalent with minimum of 4 years of experience in the Data Analytics domain, backed by strong experience with both unstructured and structured Data. You will have a proven track record of working in Data Analytics projects within Finance / Supply Chain / Customer Service domains, coupled with good knowledge with Machine Learning Techniques such as Time Series Forecasting / Clustering / Decision Tree Learning etc.
You will have a strong experience with visualization tools such as Tableau / PowerBI, backed by relevant working experience with Python and Python Packages such as Pandas, Matplotlib, PySpark etc. You will also have a proven track record of working with AWS Cloud technologies and performing data extraction / data modelling on AWS platform.
What's on Offer
Opportunity to work with Advance Technologies
Leading the Data-Driven Culture
Competitive Salary Package
Contact:
Ray Liang
Quote job ref: 4125303
+65 9723 9218
Save Job
Apply
Data Scientist (Python / AWS)
From email *
To email *
Our client is one of the Market Leaders in the Shipping Industry and they are looking for a Data Scientist (Python / AWS) to build analytics solutions that will lead the business into the data-driven era.
Job Description
As the Data Scientist (Python / AWS), you are responsible for:
Collaborating with cross functional teams to understand business requirements and provide solutions in areas involving Finance / Supply Chain / Customer Service etc.
Driving continuous functionality and feature improvements in data systems.
Developing meaningful dashboards and communicating business insights to the key stakeholders and evangelising a Data Driven Culture within the Organization.
Lead projects such as time-series forecasting and costing optimization and presenting the findings to senior stakeholders.
The Successful Applicant
As a successful applicant, you will have a Degree in Information Technology or equivalent with minimum of 4 years of experience in the Data Analytics domain, backed by strong experience with both unstructured and structured Data. You will have a proven track record of working in Data Analytics projects within Finance / Supply Chain / Customer Service domains, coupled with good knowledge with Machine Learning Techniques such as Time Series Forecasting / Clustering / Decision Tree Learning etc. You will have a strong experience with visualization tools such as Tableau / PowerBI, backed by relevant working experience with Python and Python Packages such as Pandas, Matplotlib, PySpark etc. You will also have a proven track record of working with AWS Cloud technologies and performing data extraction / data modelling on AWS platform.
What's on Offer
Opportunity to work with Advance Technologies
Leading the Data-Driven Culture
Competitive Salary Package
"", ""jobLocation"" : { ""@type"" : ""Place"", ""address"" : { ""@type"" : ""PostalAddress"", ""addressLocality"" : ""Singapore"", ""addressRegion"" : ""Singapore"", ""addressCountry"" : ""SG"" } } }

Function:IT
Specialisation:IT Data Analysis
Industry:Transport & Distribution
Location:Singapore
Contract Type:Permanent
Consultant name:Ray Liang
Consultant contact:+65 9723 9218"
Data Scientist,Singapore,Comtel Solutions Pte Ltd,,Organic,"Develop data model that are meaningful and impactful on a critical market data application
Develop data model that are meaningful and impactful on a critical market data application.
Interpret data and analyses data with SQL, R, Octave, Python.
Build up analytic dashboard with QlikSense, Power BI, R Shinny.
Strong hands-on experience in Python, R, or Octave
Good knowledge in mathematic modelling, statistics, probabilities.
Understanding on Machine Learning technics, Neural Network, Linear regression, sentiment analysis, Clustering, anomaly detection, NLP, chatbot, Topic Modelling, Entity Recognition.
Experience in UI presentation, QlikSense, Power BI, R Shiny, orD3.js
Strong knowledge in SQL (Oracle, MySQL, MariaDB)
Familiar with Linux operation system"
Data Scientist,Singapore,Ministry of National Development,,Organic,"Data Scientist
Research & Data Analytics Resource Unit (RaDAR)
We would like to invite interested applicants to apply for this position in the Research and Strategy Management Division at the Ministry of National Development. You will be part of a dynamic, multi-disciplinary team that provides timely and relevant research to policymakers to inform the policy making process.

Responsibilities
Using data science techniques, you will undertake research and analysis on issues that are relevant to the Ministry to enable evidence-based policy formulation. These issues include:
Assessing and monitoring public housing affordability, as well as understanding the public housing needs of Singaporeans;
Developing surveillance capabilities to better understand key drivers that affect property market prices in Singapore;
Deepening our knowledge of housing and related social issues faced by different population segments and the efficacy of related policies; and
Understanding the social cohesiveness of our community and residents’ sentiments toward the living environment.
You will work in multi-disciplinary teams, and with policymakers and other agencies, to develop and conduct quantitative studies to address and pre-empt policy needs. These include the development of dashboards for monitoring and visualisation purposes, applications of machine learning and artificial intelligence to uncover insights, as well as in-depth studies that may involve predictive elements.

In addition, you will assist in managing a data lab and maintaining a database. These include:
Assisting with data extraction when required by users;
Documenting and resolving data related-issues highlighted by users;
Planning and executing data governance and security measures;
Overseeing data management processes to facilitate data use;
Planning and executing the refresh of a data analytics and data warehouse system and
Planning and executing data/digitalisation related initiatives to enhance the functionality of a data lab.
You will have the opportunity to engage a diverse group of stakeholders in the public service, academia and private sector on research-related issues. You will also undertake secretariat duties for important policy platforms.

Requirements
Qualifications and/or relevant experience in Data Science, Economics, Statistics, Applied Mathematics or Computer Science;
Experience and ability to utilise data analytics tools to prepare and analyse data (e.g. R, Python and STATA);
Strong background in machine learning, statistical modelling techniques including predictive models, and techniques for analysing unstructured data;
Experience in data visualization (e.g. creating dashboards on R Shiny, Tableau) or usage of GIS tools (e.g. ArcGIS) will be an advantage;
Excellent communication skills and the ability to explain research results simply and logically; and
Comfortable working with policy stakeholders from multiple agencies and researchers from various backgrounds such as sociology, psychology and economics."
Data Scientist 005,Singapore,U3 INFOTECH PTE. LTD.,,Organic,"Roles & Responsibilities
Responsibilities
Work with stakeholders throughout the organization to use company data to discover novel business insights and capitalise on them
Mine and analyze data from company databases and data lake to influence business strategy and drive continuous improvement of our service
Research, evaluate and suggest new data gathering techniques and the acquisition of new data sources
Develop new data models and algorithms to apply to our data
Use predictive modeling to increase and optimize advertising performance and other business outcomes
Coordinate with different functional teams to implement models
Develop processes and tools to monitor and analyze model performance and data accuracy
Design and develop efficient and scalable data pipelines to provide analytics to other teams.
Requirements
BS, MS, or PhD in Mathematics, Physics, Computer Science or other applied engineering disciplines.
2+ years’ experience developing and deploying machine learning models on large datasets.
Good programming skills in Python or Scala (preferably) or R. Experience working with other programming languages such as Java, C++, etc will be a plus
Excellent knowledge of a variety of machine learning models for regression, classification, clustering etc. Deep knowledge in hyper parameter tuning and optimizing for the relevant model metrics is essential.
Experience of working on cloud environments and associated services such as AWS, GCP or Azure.
Excellent written and verbal communication skills for coordinating across teams.
Nice to have
Experience of having worked on recommendation systems and knowledge of optimization and probabilistic inference.
Experience leveraging deep learning in the domains of computer-vision and/or NLP.
Experience of having worked on developing and deploying ETL pipelines for data wrangling and ML model training using Airflow, Oozie, etc
Publications in top tier conferences and patents.
Experience working in Ad tech industry
Experience with visualization tools such as Tableau [CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]

[CANDIDATES WHO REQUIRE WORK PASSES NEED NOT APPLY]"
Data Scientist,Singapore,Singtel,,Organic,"Data Scientist

Singtel Group Consumer has created an exciting new opportunity for a Data Scientist, who is passionate in delivering impact through analytics.
The successful candidate will design and build analytics solutions and products to deliver superior business outcomes, across all aspects of the business. Exceptional candidates will also show an analytical curiosity, going beyond the immediate requirements of the project to find deep insights that others have missed.

Responsibilities:

Drive and build predictive models and proactive customer insights to drive service strategies, in terms of customer engagement, digitalization and cost optimization
Oversee the design, development and implementation of text and prediction models that complements web analytical reports and provide fresh insights
Translate pain-points of stakeholders into problem statements, architect and implement AI technologies/solutioning and present results and insights to business stakeholders.
Solid track record of deploying machine learning algorithms in production environment.
Develop and deploy analytical solutions across a variety of business functions, including, but not limited to: customer acquisition, customer retention, product development, pricing decisions, network roll-out
Track and improve performance of analytical solutions developed
Communicate findings to wider audiences within Singtel
Stay current on cutting edge business applications, tools and approaches

Required Skills and Qualifications

Strong stakeholder management
Significant relevant experience building and deploying advanced analytics solutions in telco, cable or B2C environment. Relevant topics include: digitalization, proactive customer engagement, cost modeling of operations, predictive operations, customer acquisition, customer segmentation and targeting, customer LTV maximization, churn prevention
Advanced degree preferred: Masters degree with 3-5 years experience in computer science, applied mathematics, statistics, machine learning, or a related quantitative field.
Deep technical and data science expertise, including experience in the following:
Analytical methods: statistical modeling (e.g., linear regression, GLMs, time series), supervised machine learning (e.g., random forests, neural networks), design of experiments, segmentation/clustering, text mining, network analysis (e.g., location allocation), optimization, simulation
Analytics tools: Data wrangling (SQL, R, Python, Spark, Hadoop/Hive, Impala), Data Modeling (R, Python), Data visualization (Tableau, Microstrategy)
Experience building in-production models, including associated scripting, error handling and documentation
Strong record of professional accomplishment
Highly self-driven, demonstrate critical thinking, team player & fast learner
Excellent communication and presentation skills in English"
Data Scientist (Machine Learning Specialist),Singapore,AIDA Technologies,,Organic,"Company Overview
AIDA Technologies is a Singapore incorporated company focused on AI based predictive analytics and intelligent systems. The company was founded by a team of award-winning data scientists from Singapore's top research institute to develop advanced Machine Learning solutions for the banking and insurance industry. AIDA's team has combined the deep machine learning know how and significant experience in delivering solutions for banking, financial services and insurance, with a customised engine to not just deliver high precision models, but bridge the gap from modelling to adoption and use of the models. AIDA solutions have been deployed in organizations across ASEAN and India. The company has been fast growing and expanding.
Job Summary
We are looking for several Data Scientists (Machine Learning Specialists) who will work with our clients to discover the information hidden in vast amounts of data, and help them make smarter decisions to deliver better products or services. You will work with AIDA's highly motivated team to apply data mining techniques, do statistical analysis, build high quality machine learning model and deploy the models to the cloud or our client's server and integrate the models with the existing client's products or system.
Responsibilities and Duties

Understanding business problems and dividing the problems into different tasks that can be solved by Machine Learning.
Processing, cleansing, and verifying the integrity of data used for analysis; Performing feature selection to select the most suitable features; Building high accurate machine learning models.
Validating the machine learning results, visualizing, and presenting the results to related team and departments.
Deploying the machine learning models into cloud or server and integrate the models into different systems.
Qualifications and Skills
PhD or Master's degree preferred in Computer Science or Mathematics with at least 2 year working experience with strong background in Statistics, Data Sciences, and Programming skills.
Expert in machine learning techniques and algorithms, such as LightGBM, XGBoost, ensemble and stacking methods, etc.
Proficiency in Python programming language and machine learning toolkit such as Scikit-learn.
Basic knowledge on DevOps and development tools such as docker, Git, Cloud platform such as AWS or Microsoft Azure
Experience in Data Management and SQL-based technologies
Excellent communication skills
Benefits and Perks

Opportunity to work with best data scientists in the world, including Kaggle Grand Master
Deliver high impact solutions for prestigious clients
An exciting learning opportunity at a fast-paced startup with open and friendly colleagues
Competitive salary based on skills & experience with excellent insurance and other benefits.
ZrwyDY4sVl"
Associate Data Scientist / Data Scientist,Singapore,NCS,,Organic,"NCS is looking for a data scientist to address challenging data science problems by discovering information hidden in vast amount of data by leveraging techniques in statistics, machine learning, and data mining. The data scientist will work closely with the business users, project managers, and database engineers to develop sophisticated analytics algorithms that provide actionable insights. The role requires to a trusted adviser to our clients in conceptualizing advanced analytics solutions and enabling their journey in data science.

Translate customer pain-points into problem statements, architect analytics solution, and engagingly present results and learnings to both technical and non-technical audiences.
Develop and manage entire end-to-end lifecycle of scoping of data inputs, data cleaning and pre-processing, feature engineering, building models, deploying to production and improving models by iterations
Present statistically sound model validations to justify model selection and performance
Build and deploy highly valuable, efficient, scalable advanced analytics models in production systems
Design and develop sophisticated visualizations and dashboards to explain the actionable insights
Contribute to the data architecture engineering decisions to support analytics.
Work closely with project manager and technical leads to provide regular status reporting and support them to refine issues/problem statements and propose/evaluate relevant analytics solutions
Work in interdisciplinary teams that combine technical, business and data science competencies that deliver work in waterfall or agile software development lifecycle methodologies
The range of accountability, responsibility and autonomy will depend on your experience and seniority, including:
Contributing to our internal networks and special interest groups
Mentoring to upskill peers and juniors

What do you need to succeed?
Possess good communications skills to understand our customers' core business objectives and build end-to-end data centric solutions to address them
Good critical thinking and problem-solving abilities
Curiosity to ask why and tenacity to find the root causes
Enthusiasm for implementing machine learning products through extensive experimentation from prototyping to production
Stay up to date with evolving analytics concepts and data science platforms, tools, and techniques
Ability to work independently and manage multiple task assignments

The ideal candidate:
Post Graduate Degree (Masters or PhD) in Mathematics, Applied Statistics, Business Analytics or equivalent
at least 2 years of experience in advanced analytics delivery / research for full-time applicants or academic exposure for interns applying for this role
Ability to communicate complex quantitative analysis in a concise and actionable manner
Proficiency in manipulating and analysing complex, high-volume, high-dimensionality data (structures/unstructured) from varying sources
Strong knowledge in Feature Selection/Extraction on a variety of data types
Strong competency in various machine learning techniques (supervised/ unsupervised learning)
Solid understanding of advanced analytics (Statistics, NLP, Simulation, Optimizations, etc.)
Expertise in Python / R, Apache Spark (or similar scripting language) coding capability to operationalize data analytics workflows and processes
Experience in data visualisation tools and libraries such as Tableau, Qlik, Shiny Plotly, ggplot2, etc
Experience in machine learning model management and deployment tools using containerisation (Docker, Kubernetes)

Nice to have:
Experience in Amazon Web Services, Microsoft Azure, Cloudera, Hadoop, Spark, Storm or related paradigms and associated tools such as Pig, Hive, Mahout
Experience with DevOps tools in analytics project delivery
Experience with application/ software development and design
Exposure in deep learning, and reinforcement learning job experience
Experience in implementing Graph database analytics
Knowledge in database modelling and data warehousing concepts"
"Associate, Junior Data Scientist, DBS Transformation Group",Singapore,DBS Bank,,Organic,"Business Function

Group Technology and Operations (T&O) enables and empowers the bank with an efficient, nimble and resilient infrastructure through a strategic focus on productivity, quality & control, technology, people capability and innovation. In Group T&O, we manage the majority of the Bank's operational processes and inspire to delight our business partners through our multiple banking delivery channels.

Job Purpose
Deliver Data Science analysis to support business decisions for various Business Units of the Bank. Develop Advanced Analytics components to be included in innovative applications by creating prototypes and developing solutions based on advanced analytics, leveraging internal data sources as well as investigating the potential of external data sources.

Responsibilities
Train Predictive and Machine Learning models to solve various business questions.
Perform ad-hoc exploratory statistics and data mining tasks on diverse datasets from small scale to “big data”
Select features, building and optimizing classifiers using machine learning techniques
Data mining using state-of-the-art methods
Extend company’s data with third party sources of information when needed
Enhance data collection procedures to include information that is relevant for building analytic systems
Process, cleanse, and verify the integrity of data used for analysis
Carry out ad-hoc analysis and present results in a clear manner
Build Prototypes to demonstrate the derive actionable insights from data, as part of Agile teams
Work with Data Engineers to define data requirements and review recommended architecture
Program advanced analytics capabilities and algorithms to be included in new business solutions.
Develop visualization interfaces that help business make more insightful decisions
Maintain a cutting edge in Data Science
Take initiative in evaluating new approaches from data science research
Test new tools and packages
Support the programs for changing the business culture towards being more data driven
Identify, profile, analyse and present the data discovery output for analytics projects
Develop data ingestion pipeline and create the analytics data assets for analytics projects
Work with data engineer to enhance the analytics data infrastructure and develop enterprise analytics data mart
Perform data wrangling and feature engineering for machine learning
Create helper functions to automate frequently encountered wrangling and feature engineering tasks
Requirements
PhD/Masters/Bachelors in Computer Science, Statistics, Applied Mathematics, Operations Research, or related disciplines.
Excellent understanding of machine learning techniques and algorithms, such as k-NN, Naive Bayes, SVM, Decision Forests, etc.
Good applied statistics skills, such as distributions, statistical testing, regression, etc.
Highly proficient with data wrangling, analytic, transformation and feature engineering using programming tools such as Spark, Python or R. Excellent knowledge of SQL.
Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc .
Experience with data visualisation tools, such as D3.js, GGplot, etc.
Proficiency in using query languages such as SQL, Hive, Pig
Experience with NoSQL databases, such as MongoDB, Cassandra, HBase
Good scripting and programming skills (Python, Java, Spark…)
Experience with commercial Analytics packages is a plus (Teradata, SAS, Qlikview…)
Practical experience in following domains, in addition to Machine Learning, is a plus: Natural Language Processing, Deep Learning, Time Series, Web/Log Analysis, Streaming Data Analysis, Geospatial Analysis
Great communication skills
Data-oriented personality
Excellent communication and presentation skills in English.
Taste for working in teams, self-starter, able to work on multiple projects in parallel
Industry experience in data analytics working in a big data environment
Experience working in multi-cultural environments
Apply Now

We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements."
